pairs processed: 1160, usable labeled: 698 (monster=153, regular=545)
rob CASHCOW      gain= 4563.7 skip     t5=07-10 19:14 nD=- cov=- why=window outside tape
rob ilysm        gain= 2892.0 skip     t5=07-10 08:34 nD=- cov=- why=window outside tape
sol SEMAN        gain=   50.6 monster  t5=07-04 00:42 nD=97 cov=0.37 why=
rob RANGER       gain=   50.4 monster  t5=07-10 19:00 nD=21 cov=0.04 why=
sol Bullmerica25 gain=   50.3 monster  t5=07-05 12:33 nD=98 cov=0.06 why=
sol BABYANSEM    gain=   50.1 monster  t5=07-04 16:29 nD=0 cov=- why=
sol COBRA        gain=   50.0 monster  t5=07-05 19:36 nD=99 cov=0.11 why=
sol LojakPaul    gain=   49.7 monster  t5=07-03 03:54 nD=0 cov=- why=
sol ANSUM        gain=   49.5 monster  t5=07-05 02:21 nD=0 cov=- why=
rob HOME         gain=   49.3 skip     t5=07-10 08:53 nD=- cov=- why=window outside tape
sol BLACKOUT     gain=   49.2 monster  t5=07-05 15:51 nD=100 cov=0.6 why=
sol 公牛           gain=   48.8 monster  t5=07-05 17:41 nD=99 cov=0.1 why=
sol BullWorld    gain=   48.5 monster  t5=07-05 05:58 nD=94 cov=0.16 why=
sol frog         gain=   47.9 monster  t5=07-05 14:03 nD=99 cov=0.23 why=
sol BABYANSEM    gain=   47.8 monster  t5=07-03 16:01 nD=100 cov=0.09 why=
sol SEMAN        gain=   47.8 monster  t5=07-03 19:29 nD=99 cov=0.09 why=
sol BullWorld    gain=   47.6 monster  t5=07-05 08:20 nD=100 cov=0.27 why=
sol ACM          gain=   47.4 monster  t5=07-05 11:36 nD=72 cov=0.55 why=
sol COBRA        gain=   47.3 monster  t5=07-05 09:52 nD=99 cov=0.13 why=
sol ANSUM        gain=   47.1 monster  t5=07-05 00:49 nD=0 cov=- why=
rob SongJiang    gain=   47.0 monster  t5=07-10 09:11 nD=132 cov=1.38 why=
sol SEMAN        gain=   46.3 monster  t5=07-06 15:08 nD=79 cov=1.0 why=
rob BILLY        gain=   45.5 monster  t5=07-10 16:37 nD=0 cov=- why=
sol LojakPaul    gain=   45.4 monster  t5=07-03 07:21 nD=0 cov=- why=
sol Bullmerica25 gain=   45.4 monster  t5=07-05 05:08 nD=123 cov=0.24 why=
sol SEMAN        gain=   44.9 monster  t5=07-04 02:07 nD=144 cov=0.91 why=
sol LojakPaul    gain=   44.9 monster  t5=07-04 09:00 nD=0 cov=- why=
sol BLACKOUT     gain=   44.9 monster  t5=07-06 06:20 nD=0 cov=- why=
rob KITTY        gain=   44.7 monster  t5=07-10 20:33 nD=19 cov=0.2 why=
sol frog         gain=   44.5 monster  t5=07-05 18:14 nD=54 cov=0.3 why=
sol SEMAN        gain=   44.2 monster  t5=07-04 23:18 nD=0 cov=- why=
sol LojakPaul    gain=   44.2 monster  t5=07-04 06:16 nD=0 cov=- why=
sol ANSUM        gain=   44.0 monster  t5=07-04 18:21 nD=0 cov=- why=
sol 公牛           gain=   43.9 monster  t5=07-05 18:45 nD=100 cov=0.08 why=
sol LojakPaul    gain=   43.8 monster  t5=07-03 10:09 nD=0 cov=- why=
rob SongJiang    gain=   43.6 monster  t5=07-10 09:00 nD=157 cov=2.46 why=
sol Bullmerica25 gain=   43.5 monster  t5=07-05 13:39 nD=100 cov=0.05 why=
rob SNAT         gain=   43.3 monster  t5=07-10 17:41 nD=1 cov=- why=
sol ACM          gain=   43.2 monster  t5=07-05 07:33 nD=100 cov=0.11 why=
sol LojakPaul    gain=   43.1 monster  t5=07-04 05:51 nD=0 cov=- why=
rob CASHCOW      gain=   42.9 monster  t5=07-10 20:19 nD=41 cov=0.07 why=
sol ANSUM        gain=   42.9 monster  t5=07-05 10:20 nD=63 cov=1.0 why=
sol TOLY         gain=   42.7 monster  t5=07-06 09:12 nD=0 cov=- why=
sol BABYANSEM    gain=   42.5 monster  t5=07-04 01:03 nD=99 cov=0.39 why=
sol LojakPaul    gain=   42.5 monster  t5=07-04 08:42 nD=0 cov=- why=
sol BLACKOUT     gain=   42.5 monster  t5=07-06 00:16 nD=104 cov=0.86 why=
sol LojakPaul    gain=   42.3 monster  t5=07-03 08:21 nD=0 cov=- why=
sol SEMAN        gain=   42.2 monster  t5=07-05 16:23 nD=75 cov=0.82 why=
sol COBRA        gain=   42.2 monster  t5=07-06 02:38 nD=0 cov=- why=
sol ANSUM        gain=   42.1 monster  t5=07-05 22:04 nD=69 cov=0.41 why=
sol ANSUM        gain=   42.0 monster  t5=07-05 00:47 nD=0 cov=- why=
sol LojakPaul    gain=   41.9 monster  t5=07-03 23:57 nD=100 cov=0.17 why=
sol TOLY         gain=   41.9 monster  t5=07-05 13:04 nD=99 cov=0.14 why=
sol BABYANSEM    gain=   41.7 monster  t5=07-04 17:41 nD=0 cov=- why=
sol COBRA        gain=   41.6 monster  t5=07-05 11:34 nD=100 cov=0.23 why=
rob ROBINHULK    gain=   41.5 monster  t5=07-10 09:23 nD=581 cov=1.02 why=
sol ANSUM        gain=   41.5 monster  t5=07-04 13:52 nD=99 cov=0.11 why=
sol SEMAN        gain=   41.3 monster  t5=07-04 10:42 nD=0 cov=- why=
sol ELIZABETH    gain=   41.0 monster  t5=07-05 11:52 nD=100 cov=0.25 why=
sol ANSUM        gain=   40.8 monster  t5=07-05 04:05 nD=105 cov=0.76 why=
sol 公牛           gain=   40.7 monster  t5=07-05 18:49 nD=100 cov=0.08 why=
sol SEMAN        gain=   40.6 monster  t5=07-05 02:28 nD=19 cov=0.22 why=
sol frog         gain=   40.6 monster  t5=07-06 01:04 nD=74 cov=1.0 why=
sol SEMAN        gain=   40.5 monster  t5=07-03 23:41 nD=100 cov=0.77 why=
